scat_number,date,time,volume
4034,10/25/2006,18:00,205.0
4034,10/25/2006,18:15,213.75
4034,10/25/2006,18:30,175.5
4034,10/25/2006,18:45,167.75
4034,10/25/2006,19:00,163.25
4034,10/25/2006,19:15,158.75
4034,10/25/2006,19:30,132.0
4034,10/25/2006,19:45,112.5
4034,10/25/2006,20:00,103.75
4034,10/25/2006,20:15,100.5
4034,10/25/2006,20:30,101.75
4034,10/25/2006,20:45,95.5
4034,10/25/2006,21:00,95.0
4034,10/25/2006,21:15,85.5
4034,10/25/2006,21:30,89.5
4034,10/25/2006,21:45,98.5
4034,10/25/2006,22:00,87.5
4034,10/25/2006,22:15,71.75
4034,10/25/2006,22:30,66.25
4034,10/25/2006,22:45,61.25
4034,10/25/2006,23:00,57.0
4034,10/25/2006,23:15,43.25
4034,10/25/2006,23:30,30.75
4034,10/25/2006,23:45,30.25
4034,10/26/2006,00:00,28.5
4034,10/26/2006,00:15,22.25
4034,10/26/2006,00:30,17.5
4034,10/26/2006,00:45,10.25
4034,10/26/2006,01:00,13.25
4034,10/26/2006,01:15,12.0
4034,10/26/2006,01:30,8.0
4034,10/26/2006,01:45,9.75
4034,10/26/2006,02:00,7.5
4034,10/26/2006,02:15,4.75
4034,10/26/2006,02:30,5.5
4034,10/26/2006,02:45,6.75
4034,10/26/2006,03:00,7.25
4034,10/26/2006,03:15,5.0
4034,10/26/2006,03:30,7.25
4034,10/26/2006,03:45,8.25
4034,10/26/2006,04:00,6.75
4034,10/26/2006,04:15,8.75
4034,10/26/2006,04:30,9.5
4034,10/26/2006,04:45,16.5
4034,10/26/2006,05:00,17.25
4034,10/26/2006,05:15,25.5
4034,10/26/2006,05:30,34.75
4034,10/26/2006,05:45,41.75
4034,10/26/2006,06:00,62.25
4034,10/26/2006,06:15,92.0
4034,10/26/2006,06:30,127.5
4034,10/26/2006,06:45,140.5
4034,10/26/2006,07:00,170.25
4034,10/26/2006,07:15,199.0
4034,10/26/2006,07:30,222.0
4034,10/26/2006,07:45,239.75
4034,10/26/2006,08:00,241.75
4034,10/26/2006,08:15,225.5
4034,10/26/2006,08:30,241.5
4034,10/26/2006,08:45,210.5
4034,10/26/2006,09:00,187.5
4034,10/26/2006,09:15,186.0
4034,10/26/2006,09:30,182.25
4034,10/26/2006,09:45,183.0
4034,10/26/2006,10:00,164.25
4034,10/26/2006,10:15,170.25
4034,10/26/2006,10:30,165.75
4034,10/26/2006,10:45,158.75
4034,10/26/2006,11:00,160.5
4034,10/26/2006,11:15,158.25
4034,10/26/2006,11:30,159.25
4034,10/26/2006,11:45,156.5
4034,10/26/2006,12:00,169.0
4034,10/26/2006,12:15,161.5
4034,10/26/2006,12:30,167.25
4034,10/26/2006,12:45,161.25
4034,10/26/2006,13:00,169.25
4034,10/26/2006,13:15,166.75
4034,10/26/2006,13:30,167.0
4034,10/26/2006,13:45,158.25
4034,10/26/2006,14:00,159.75
4034,10/26/2006,14:15,180.5
4034,10/26/2006,14:30,163.5
4034,10/26/2006,14:45,174.75
4034,10/26/2006,15:00,181.5
4034,10/26/2006,15:15,188.5
4034,10/26/2006,15:30,191.25
4034,10/26/2006,15:45,199.25
4034,10/26/2006,16:00,209.75
4034,10/26/2006,16:15,189.0
4034,10/26/2006,16:30,206.25
4034,10/26/2006,16:45,197.75
4034,10/26/2006,17:00,216.75
4034,10/26/2006,17:15,221.0
4034,10/26/2006,17:30,220.25
4034,10/26/2006,17:45,228.5
4034,10/26/2006,18:00,195.0
4034,10/26/2006,18:15,203.75
4034,10/26/2006,18:30,195.0
4034,10/26/2006,18:45,179.0
4034,10/26/2006,19:00,176.0
4034,10/26/2006,19:15,159.25
4034,10/26/2006,19:30,143.75
4034,10/26/2006,19:45,128.0
4034,10/26/2006,20:00,121.25
4034,10/26/2006,20:15,106.5
4034,10/26/2006,20:30,109.0
4034,10/26/2006,20:45,110.5
4034,10/26/2006,21:00,101.5
4034,10/26/2006,21:15,106.5
4034,10/26/2006,21:30,111.5
4034,10/26/2006,21:45,86.75
4034,10/26/2006,22:00,92.5
4034,10/26/2006,22:15,88.0
4034,10/26/2006,22:30,74.5
4034,10/26/2006,22:45,64.75
4034,10/26/2006,23:00,58.0
4034,10/26/2006,23:15,53.25
4034,10/26/2006,23:30,43.0
4034,10/26/2006,23:45,33.25
4034,10/27/2006,00:00,25.5
4034,10/27/2006,00:15,24.0
4034,10/27/2006,00:30,20.5
4034,10/27/2006,00:45,22.25
4034,10/27/2006,01:00,17.0
4034,10/27/2006,01:15,12.75
4034,10/27/2006,01:30,14.0
4034,10/27/2006,01:45,9.75
4034,10/27/2006,02:00,7.25
4034,10/27/2006,02:15,10.5
4034,10/27/2006,02:30,9.25
4034,10/27/2006,02:45,6.25
4034,10/27/2006,03:00,12.0
4034,10/27/2006,03:15,7.5
4034,10/27/2006,03:30,8.75
4034,10/27/2006,03:45,5.25
4034,10/27/2006,04:00,8.0
4034,10/27/2006,04:15,6.25
4034,10/27/2006,04:30,11.25
4034,10/27/2006,04:45,16.0
4034,10/27/2006,05:00,18.75
4034,10/27/2006,05:15,23.25
4034,10/27/2006,05:30,35.25
4034,10/27/2006,05:45,50.75
4034,10/27/2006,06:00,61.0
4034,10/27/2006,06:15,90.5
4034,10/27/2006,06:30,126.5
4034,10/27/2006,06:45,150.25
4034,10/27/2006,07:00,166.5
4034,10/27/2006,07:15,202.5
4034,10/27/2006,07:30,221.0
4034,10/27/2006,07:45,234.75
4034,10/27/2006,08:00,238.0
4034,10/27/2006,08:15,226.75
4034,10/27/2006,08:30,230.25
4034,10/27/2006,08:45,215.25
4034,10/27/2006,09:00,180.0
4034,10/27/2006,09:15,178.75
4034,10/27/2006,09:30,178.5
4034,10/27/2006,09:45,184.75
4034,10/27/2006,10:00,164.25
4034,10/27/2006,10:15,175.5
4034,10/27/2006,10:30,168.75
4034,10/27/2006,10:45,167.0
4034,10/27/2006,11:00,168.25
4034,10/27/2006,11:15,167.25
4034,10/27/2006,11:30,162.25
4034,10/27/2006,11:45,160.75
4034,10/27/2006,12:00,167.25
4034,10/27/2006,12:15,177.75
4034,10/27/2006,12:30,190.25
4034,10/27/2006,12:45,174.0
4034,10/27/2006,13:00,173.25
4034,10/27/2006,13:15,167.25
4034,10/27/2006,13:30,165.75
4034,10/27/2006,13:45,160.5
4034,10/27/2006,14:00,154.5
4034,10/27/2006,14:15,169.25
4034,10/27/2006,14:30,178.0
4034,10/27/2006,14:45,177.75
4034,10/27/2006,15:00,195.0
4034,10/27/2006,15:15,206.5
4034,10/27/2006,15:30,173.25
4034,10/27/2006,15:45,196.75
4034,10/27/2006,16:00,193.0
4034,10/27/2006,16:15,183.75
4034,10/27/2006,16:30,204.0
4034,10/27/2006,16:45,191.75
4034,10/27/2006,17:00,210.5
4034,10/27/2006,17:15,206.25
